data,abrangencia,pop,variavel,valor,data_formatada,lideranca
1º trimestre 2012,Brasil,Total,Pessoas de 14 anos ou mais de idade,153031.0,2012-02-01,Dilma Rousseff
1º trimestre 2012,Brasil,Homens,Pessoas de 14 anos ou mais de idade,73893.0,2012-02-01,Dilma Rousseff
1º trimestre 2012,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,79138.0,2012-02-01,Dilma Rousseff
2º trimestre 2012,Brasil,Total,Pessoas de 14 anos ou mais de idade,153563.0,2012-05-01,Dilma Rousseff
2º trimestre 2012,Brasil,Homens,Pessoas de 14 anos ou mais de idade,74147.0,2012-05-01,Dilma Rousseff
2º trimestre 2012,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,79417.0,2012-05-01,Dilma Rousseff
3º trimestre 2012,Brasil,Total,Pessoas de 14 anos ou mais de idade,154104.0,2012-08-01,Dilma Rousseff
3º trimestre 2012,Brasil,Homens,Pessoas de 14 anos ou mais de idade,74405.0,2012-08-01,Dilma Rousseff
3º trimestre 2012,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,79699.0,2012-08-01,Dilma Rousseff
4º trimestre 2012,Brasil,Total,Pessoas de 14 anos ou mais de idade,154641.0,2012-11-01,Dilma Rousseff
4º trimestre 2012,Brasil,Homens,Pessoas de 14 anos ou mais de idade,74663.0,2012-11-01,Dilma Rousseff
4º trimestre 2012,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,79978.0,2012-11-01,Dilma Rousseff
1º trimestre 2013,Brasil,Total,Pessoas de 14 anos ou mais de idade,155174.0,2013-02-01,Dilma Rousseff
1º trimestre 2013,Brasil,Homens,Pessoas de 14 anos ou mais de idade,74919.0,2013-02-01,Dilma Rousseff
1º trimestre 2013,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,80255.0,2013-02-01,Dilma Rousseff
2º trimestre 2013,Brasil,Total,Pessoas de 14 anos ou mais de idade,155687.0,2013-05-01,Dilma Rousseff
2º trimestre 2013,Brasil,Homens,Pessoas de 14 anos ou mais de idade,75165.0,2013-05-01,Dilma Rousseff
2º trimestre 2013,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,80522.0,2013-05-01,Dilma Rousseff
3º trimestre 2013,Brasil,Total,Pessoas de 14 anos ou mais de idade,156205.0,2013-08-01,Dilma Rousseff
3º trimestre 2013,Brasil,Homens,Pessoas de 14 anos ou mais de idade,75414.0,2013-08-01,Dilma Rousseff
3º trimestre 2013,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,80791.0,2013-08-01,Dilma Rousseff
4º trimestre 2013,Brasil,Total,Pessoas de 14 anos ou mais de idade,156711.0,2013-11-01,Dilma Rousseff
4º trimestre 2013,Brasil,Homens,Pessoas de 14 anos ou mais de idade,75658.0,2013-11-01,Dilma Rousseff
4º trimestre 2013,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,81053.0,2013-11-01,Dilma Rousseff
1º trimestre 2014,Brasil,Total,Pessoas de 14 anos ou mais de idade,157213.0,2014-02-01,Dilma Rousseff
1º trimestre 2014,Brasil,Homens,Pessoas de 14 anos ou mais de idade,75900.0,2014-02-01,Dilma Rousseff
1º trimestre 2014,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,81314.0,2014-02-01,Dilma Rousseff
2º trimestre 2014,Brasil,Total,Pessoas de 14 anos ou mais de idade,157696.0,2014-05-01,Dilma Rousseff
2º trimestre 2014,Brasil,Homens,Pessoas de 14 anos ou mais de idade,76132.0,2014-05-01,Dilma Rousseff
2º trimestre 2014,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,81564.0,2014-05-01,Dilma Rousseff
3º trimestre 2014,Brasil,Total,Pessoas de 14 anos ou mais de idade,158175.0,2014-08-01,Dilma Rousseff
3º trimestre 2014,Brasil,Homens,Pessoas de 14 anos ou mais de idade,76363.0,2014-08-01,Dilma Rousseff
3º trimestre 2014,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,81812.0,2014-08-01,Dilma Rousseff
4º trimestre 2014,Brasil,Total,Pessoas de 14 anos ou mais de idade,158634.0,2014-11-01,Dilma Rousseff
4º trimestre 2014,Brasil,Homens,Pessoas de 14 anos ou mais de idade,76584.0,2014-11-01,Dilma Rousseff
4º trimestre 2014,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,82050.0,2014-11-01,Dilma Rousseff
1º trimestre 2015,Brasil,Total,Pessoas de 14 anos ou mais de idade,159090.0,2015-02-01,Dilma Rousseff
1º trimestre 2015,Brasil,Homens,Pessoas de 14 anos ou mais de idade,76804.0,2015-02-01,Dilma Rousseff
1º trimestre 2015,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,82286.0,2015-02-01,Dilma Rousseff
2º trimestre 2015,Brasil,Total,Pessoas de 14 anos ou mais de idade,159527.0,2015-05-01,Dilma Rousseff
2º trimestre 2015,Brasil,Homens,Pessoas de 14 anos ou mais de idade,77015.0,2015-05-01,Dilma Rousseff
2º trimestre 2015,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,82513.0,2015-05-01,Dilma Rousseff
3º trimestre 2015,Brasil,Total,Pessoas de 14 anos ou mais de idade,159972.0,2015-08-01,Dilma Rousseff
3º trimestre 2015,Brasil,Homens,Pessoas de 14 anos ou mais de idade,77229.0,2015-08-01,Dilma Rousseff
3º trimestre 2015,Brasil,Mulheres,Pessoas de 14 anos ou mais de idade,82744.0,2015-08-01,Dilma Rousseff
